Best Flat Segment Extraction Summary
========================================
Total files processed: 424
Files with flat segments: 157
Total best segments extracted: 157
Average RMS: 0.1602
Average flatness score: 0.9915
Best flatness score: 0.9994
Worst flatness score: 0.9302
Average candidates per file: 20842.8

Detailed Results:
T19_CC3.wav: t=0.50s, RMS=0.2425, Flatness=0.9907, Candidates=22050
T370_CC3.wav: t=0.44s, RMS=0.1771, Flatness=0.9895, Candidates=22050
T287_CC3.wav: t=0.33s, RMS=0.1005, Flatness=0.9977, Candidates=4432
T324_CC3.wav: t=0.00s, RMS=0.1026, Flatness=0.9966, Candidates=22050
T409_CC3.wav: t=0.03s, RMS=0.1010, Flatness=0.9961, Candidates=22050
T419_CC3.wav: t=0.33s, RMS=0.1436, Flatness=0.9914, Candidates=22050
T379_CC3.wav: t=0.05s, RMS=0.1000, Flatness=0.9962, Candidates=2204
T211_CC3.wav: t=0.06s, RMS=0.1444, Flatness=0.9923, Candidates=22050
T177_CC3.wav: t=0.00s, RMS=0.1017, Flatness=0.9979, Candidates=22050
T62_CC3.wav: t=0.50s, RMS=0.1738, Flatness=0.9902, Candidates=22050
T436_CC3.wav: t=0.50s, RMS=0.1609, Flatness=0.9931, Candidates=22050
T153_CC3.wav: t=0.24s, RMS=0.2007, Flatness=0.9873, Candidates=22050
T396_CC3.wav: t=0.00s, RMS=0.1670, Flatness=0.9889, Candidates=22050
T386_CC3.wav: t=0.31s, RMS=0.1340, Flatness=0.9928, Candidates=22050
T188_CC3.wav: t=0.43s, RMS=0.1092, Flatness=0.9937, Candidates=22050
T121_CC3.wav: t=0.08s, RMS=0.1000, Flatness=0.9941, Candidates=17956
T412_CC3.wav: t=0.27s, RMS=0.2339, Flatness=0.9819, Candidates=22050
T257_CC3.wav: t=0.00s, RMS=0.1328, Flatness=0.9940, Candidates=22050
T372_CC3.wav: t=0.47s, RMS=0.1394, Flatness=0.9931, Candidates=22050
T310_CC3.wav: t=0.25s, RMS=0.1000, Flatness=0.9964, Candidates=4400
T268_CC3.wav: t=0.29s, RMS=0.1670, Flatness=0.9915, Candidates=22050
T300_CC3.wav: t=0.50s, RMS=0.2387, Flatness=0.9804, Candidates=22050
T191_CC3.wav: t=0.04s, RMS=0.1104, Flatness=0.9971, Candidates=22050
T128_CC3.wav: t=0.50s, RMS=0.1223, Flatness=0.9954, Candidates=22050
T138_CC3.wav: t=0.13s, RMS=0.1213, Flatness=0.9949, Candidates=22050
T344_CC3.wav: t=0.15s, RMS=0.1000, Flatness=0.9949, Candidates=6661
T295_CC3.wav: t=0.24s, RMS=0.1001, Flatness=0.9969, Candidates=11960
T94_CC3.wav: t=0.17s, RMS=0.5105, Flatness=0.9757, Candidates=22050
T84_CC3.wav: t=0.41s, RMS=0.1168, Flatness=0.9954, Candidates=22050
T2_CC3.wav: t=0.01s, RMS=0.1046, Flatness=0.9967, Candidates=22050
T175_CC3.wav: t=0.50s, RMS=0.1499, Flatness=0.9947, Candidates=22050
